,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
novelty,0.2313273128601789,-0.13258139935888152,0.23680905067759392,-0.14436012220604266,0.5105154162034956,0.04146767492317647,-0.3263065324431575,0.4286803761954746,-0.3080409204292754,0.4061968576956327,-0.07415232750382066,-0.10010087407722662,-0.14110881107670914,0.023481410444466302,-0.05679742371173618,-0.017613351226171674
brand,0.25221911540671016,0.2602330051025925,-0.07183018301395369,-0.2978611747954305,-0.3800176707063406,0.14366397984512105,0.20623822600321198,0.020094454546638663,0.18052579197898908,0.5012865296080852,-0.4397214137066857,-0.03374853267097824,-0.13559938463537727,-0.15609933665573086,-0.020756202032641856,0.21268765057573616
style,0.40363448779178834,-0.06161921925433642,-0.04337209645875349,0.11584310313016655,0.26211574755876127,-0.027592444940276097,0.2189934990585982,-0.07479021331141267,0.21704647060154372,0.09162460125742705,0.10695284624844527,-0.1547923574376747,0.2903160453571331,0.072368997757841,0.7055370727010584,0.12944771081229822
rugged,0.18842851081576528,0.29868641096201487,-0.30698144211763745,0.11393250954174484,0.030706432839296874,0.4807983591175329,-0.3553782970337777,-0.21152608436032427,-0.1721964411601433,-0.055178730324878286,0.22887633125027593,0.26738145484688125,-0.37890651027711647,-0.11970336220103447,0.21993377087379848,0.045524829637537505
space,-0.005188463721498002,0.4637943613917675,0.15823783753001952,-0.031585343349407956,0.27343145769197225,0.30848706082548,0.1883985549569777,0.223660195836406,0.028283938123483635,-0.12877439150028155,0.014574783326204247,0.35479790041135195,0.534488329259552,-0.12732951836795262,-0.21057294638736673,0.1169433621925227
trunk,0.004067695250809154,0.4692162829417086,0.117247138916677,-0.05030573563276479,-0.04042243590912273,-0.3476085455254736,0.26308038297068276,0.3523088574073231,0.10662269839260588,0.015614936543342695,0.38399944510240547,0.10511172509796346,-0.4163804591823704,0.29258692061753083,0.09969613598497029,-0.09331717319814925
comfort,0.2623365198958337,0.2428557792075468,-0.1888259544336618,0.3532338409390803,-0.28381970585019695,-0.15635451561670105,-0.2049773494163578,0.33090269904922864,-0.08033173013703516,-0.030530358484108976,-0.0028614363203168227,-0.3014656835891208,0.23800668439248687,-0.34286233591257814,-0.021907510496765457,-0.4269681783375493
nimble,-0.05940739458721387,-0.31940126265669516,0.26465783035128754,0.06331647821284724,-0.4512925770271325,0.38408169800851044,-0.24242597032139315,0.4115737149163347,0.313797252742961,0.061085421304766824,0.20795822337740166,0.17103354092718404,0.0996470608055569,0.18182888978153658,0.15024104656538254,0.02812371426619217
versatile,0.0914056446576603,0.2883115240479778,0.40603776494698124,-0.2341145914473133,0.05415357194173654,0.05005929266720907,-0.3691718016833239,-0.11483301338620634,0.32864434650326885,-0.4390699993844472,-0.14681845414664493,-0.43615977238689657,-0.10271488896722004,0.0003308078305884586,0.02683430701838421,0.10040452290193108
finish,0.4024306945861862,-0.14855724594495012,-0.10289933846309779,-0.02843905447187213,-0.11180821666319185,-0.19854855702627375,-0.04288197253424446,0.024038606779219283,-0.007005629197148957,-0.07263924299057786,0.4567465436064631,-0.08451574215292021,0.04759759928653865,-0.1456938779160549,-0.38567422846611743,0.5974288240518746
features,0.2708492780398597,-0.31753396876239487,-0.032007546855051104,0.07972609793214734,0.17762025018619806,0.2391707069952661,0.42160340431597115,0.24627092220885424,0.21818795368258606,-0.375931192063562,-0.1467746210754573,0.038238052119829204,-0.39049742615796296,-0.28428004393967166,-0.12494718883792225,-0.17444589409259226
infotain,0.3381672836344381,-0.029018469851535743,0.17112691257580281,0.25773520855879095,0.06313998628947567,-0.37329946846574075,-0.27871177597987057,-0.2141083009794434,0.3356952784483511,0.06821566031613817,-0.23393330139430518,0.5620864880577573,-0.017864105292394444,0.052462940385736026,-0.13190679648811962,-0.11724160494387866
perform,0.0415361857980822,0.0885320374011198,0.3547775633051889,0.6245595009677627,-0.1477602719954779,0.06916466854746309,0.16108693468963312,0.013563192825982165,-0.3848568699831252,-0.08479413146349175,-0.28142965846484447,-0.08295518000803419,-0.12903640772400632,0.18586692041989514,0.03453563930891892,0.35772424743294007
economy,0.029908707712251556,-0.0422234374485986,0.603082769521736,-0.06839434942736107,-0.12440226008489892,0.010477058831791959,0.16664987329026718,-0.3221526577763663,-0.17001486376999864,0.18340147748817875,0.33104222361625063,0.045435765713503745,-0.03736236136665955,-0.5021761767492249,0.08322690797378092,-0.21702012608694582
safety,0.4112320226503579,0.012544653595540016,0.04283886967796564,-0.04366275810205533,-0.06602585759143859,0.2963922853908014,0.1545035670181544,-0.27531172394804865,-0.0778629744889678,0.06216759710665593,0.13531481462818928,-0.1753666486371231,0.11227424807089777,0.5516006262705512,-0.34207540034684414,-0.3771448012308887
price,-0.2868805906390928,0.09372533075144497,-0.0313541379789158,0.4546056607050026,0.2684361130083701,0.1628703326837514,0.009883611162177047,-0.11152805307934331,0.47669084934848266,0.40256483738057613,0.18126794444808053,-0.28608079502727723,-0.10929450051206435,-0.08540620758695638,-0.25543357302940817,0.04081782043416632
